movieID,budget,open_weekend,gross,ROI_open,ROI_gross,companyIDs,companyNames,companyURL
tt0110912,8000000,9311882,107928762, 0.164,12.491,co0022594;co0019267;co0010434,Miramax;A Band Apart;Jersey Films,http://www.imdb.com/title/tt0110912/companycredits?ref_=tt_dt_co
tt1872181,200000000,91608337,202644001,-0.542, 0.013,co0095134;co0180492;co0071509;co0332017,Marvel Enterprises;Avi Arad Productions;Columbia Pictures;Matt Tolmach Productions,http://www.imdb.com/title/tt1872181/companycredits?ref_=tt_dt_co
tt0111161,25000000,727327,28341469,-0.971, 0.134,co0040620,Castle Rock Entertainment,http://www.imdb.com/title/tt0111161/companycredits?ref_=tt_dt_co
tt0076759,11000000,35906661,460935665, 2.264,40.903,co0071326;co0000756,Lucasfilm;Twentieth Century Fox Film Corporation,http://www.imdb.com/title/tt0076759/companycredits?ref_=tt_dt_co
tt0088763,19000000,11332134,197902294,-0.404, 9.416,co0005073;co0009119;co0010110,Universal Pictures;Amblin Entertainment;U-Drive Productions,http://www.imdb.com/title/tt0088763/companycredits?ref_=tt_dt_co
tt0088847,1000000,5107599,38121485, 4.108,37.121,co0062005;co0079774;co0005073,A&M Films;Channel Productions;Universal Pictures,http://www.imdb.com/title/tt0088847/companycredits?ref_=tt_dt_co
tt0089218,19000000,9105913,61389680,-0.521, 2.231,co0026840;co0009119,Warner Bros.;Amblin Entertainment,http://www.imdb.com/title/tt0089218/companycredits?ref_=tt_dt_co
tt0102926,19000000,13766814,130742922,-0.275, 5.881,co0165563;co0001995,Strong Heart/Demme Production;Orion Pictures,http://www.imdb.com/title/tt0102926/companycredits?ref_=tt_dt_co
tt0107290,63000000,18620145,402348347,-0.704, 5.386,co0005073;co0009119,Universal Pictures;Amblin Entertainment,http://www.imdb.com/title/tt0107290/companycredits?ref_=tt_dt_co
tt0110357,45000000,40888194,422783777,-0.091, 8.395,co0008970;co0075995,Walt Disney Pictures;Walt Disney Feature Animation,http://www.imdb.com/title/tt0110357/companycredits?ref_=tt_dt_co
tt0114709,30000000,12491789,30144903,-0.584, 0.005,co0017902;co0008970,Pixar Animation Studios;Walt Disney Pictures,http://www.imdb.com/title/tt0114709/companycredits?ref_=tt_dt_co
tt0118715,15000000,5533844,17439163,-0.631, 0.163,co0030612;co0057311,Polygram Filmed Entertainment;Working Title Films,http://www.imdb.com/title/tt0118715/companycredits?ref_=tt_dt_co
tt0120815,70000000,30576104,216540909,-0.563, 2.093,co0040938;co0023400;co0009119;co0007500;co0021243,DreamWorks SKG;Paramount Pictures;Amblin Entertainment;Mutual Film Company;Mark Gordon Productions,http://www.imdb.com/title/tt0120815/companycredits?ref_=tt_dt_co
tt0137523,63000000,11035485,37030102,-0.825,-0.412,co0017497;co0021592;co0038102;co0064947;co0088185;co0043164,Fox 2000 Pictures;Regency Enterprises;Linson Films;Atman Entertainment;Knickerbocker Films;Taurus Film,http://www.imdb.com/title/tt0137523/companycredits?ref_=tt_dt_co
tt0133093,63000000,27788331,171479930,-0.559, 1.722,co0026840;co0108864;co0025703;co0019968,Warner Bros.;Village Roadshow Pictures;Groucho II Film Partnership;Silver Pictures,http://www.imdb.com/title/tt0133093/companycredits?ref_=tt_dt_co
tt0120915,115000000,22469932,43456382,-0.805,-0.622,co0071326,Lucasfilm,http://www.imdb.com/title/tt0120915/companycredits?ref_=tt_dt_co
tt0172495,103000000,34819017,187705427,-0.662, 0.822,co0040938;co0005073;co0074212;co0200573;co0335516;co0335559;co0093794,DreamWorks SKG;Universal Pictures;Scott Free Productions;Mill Film;C & L;Dawliz;Red Wagon Entertainment,http://www.imdb.com/title/tt0172495/companycredits?ref_=tt_dt_co
tt0120903,75000000,54471475,157299717,-0.274, 1.097,co0000756;co0095134;co0001946;co0057712;co0074702;co0058376,Twentieth Century Fox Film Corporation;Marvel Enterprises;Donners' Company;Bad Hat Harry Productions;Springwood Productions;Genetics Productions,http://www.imdb.com/title/tt0120903/companycredits?ref_=tt_dt_co
tt0241527,125000000,90294621,317557891,-0.278, 1.540,co0026840;co0159772;co0046151,Warner Bros.;Heyday Films;1492 Pictures,http://www.imdb.com/title/tt0241527/companycredits?ref_=tt_dt_co
tt0120737,93000000,47211490,315544750,-0.492, 2.393,co0046718;co0046203;co0061706,New Line Cinema;WingNut Films;The Saul Zaentz Company,http://www.imdb.com/title/tt0120737/companycredits?ref_=tt_dt_co
tt0167261,94000000,727645,342551365,-0.992, 2.644,co0046718;co0046203;co0061706,New Line Cinema;WingNut Films;The Saul Zaentz Company,http://www.imdb.com/title/tt0167261/companycredits?ref_=tt_dt_co
tt0295701,70000000,44506103,142109382,-0.364, 1.030,co0003580;co0011134,Revolution Studios;Original Film,http://www.imdb.com/title/tt0295701/companycredits?ref_=tt_dt_co
tt0266543,94000000,16687773,41123892,-0.822,-0.563,co0008970;co0017902;co0021471,Walt Disney Pictures;Pixar Animation Studios;Disney Enterprises,http://www.imdb.com/title/tt0266543/companycredits?ref_=tt_dt_co
tt0167260,94000000,72629713,377845905,-0.227, 3.020,co0046718;co0046203;co0061706,New Line Cinema;WingNut Films;The Saul Zaentz Company,http://www.imdb.com/title/tt0167260/companycredits?ref_=tt_dt_co
tt0357413,26000000,28416365,84136909, 0.093, 2.236,co0040938;co0073081;co0158547,DreamWorks SKG;Apatow Productions;Herzog-Cowen Entertainment,http://www.imdb.com/title/tt0357413/companycredits?ref_=tt_dt_co
tt0377092,17000000,24432195,86049418, 0.437, 4.062,co0023400;co0076419;co0013731,Paramount Pictures;M.G. Films;Broadway Video,http://www.imdb.com/title/tt0377092/companycredits?ref_=tt_dt_co
tt0401792,40000000,29120273,74103820,-0.272, 0.853,co0019626;co0035848,Dimension Films;Troublemaker Studios,http://www.imdb.com/title/tt0401792/companycredits?ref_=tt_dt_co
tt0121766,113000000,108435841,380262555,-0.040, 2.365,co0071326,Lucasfilm,http://www.imdb.com/title/tt0121766/companycredits?ref_=tt_dt_co
tt0372784,150000000,48745440,206852432,-0.675, 0.379,co0026840;co0147954;co0038332;co0159111;co0165460,Warner Bros.;Syncopy;DC Comics;Legendary Pictures;Patalex III Productions Limited,http://www.imdb.com/title/tt0372784/companycredits?ref_=tt_dt_co
