movieID,budget,open_weekend,gross,ROI_open,ROI_gross,producerIDs,producerNames,creditsURL
tt0110912,8000000,9311882,107928762, 0.164,12.491,nm0004744;nm0000362;nm0321621;nm0787834;nm0792049;nm0918424;nm0005544,Lawrence Bender;Danny DeVito;Richard N. Gladstein;Michael Shamberg;Stacey Sher;Bob Weinstein;Harvey Weinstein,http://www.imdb.com/title/tt0110912/fullcredits?ref_=tt_ov_st_sm
tt1872181,200000000,91608337,202644001,-0.542, 0.013,nm0032696;nm5081880;nm0476064;nm0498278;nm0649460;nm0784732;nm0866157;nm0003342,Avi Arad;Tom Cohen;Alex Kurtzman;Stan Lee;Roberto Orci;Beatriz Sequeira;Matthew Tolmach;E. Bennett Walsh,http://www.imdb.com/title/tt1872181/fullcredits?ref_=tt_ov_st_sm
tt0111161,25000000,727327,28341469,-0.971, 0.134,nm0323065;nm0504434;nm0555550,Liz Glotzer;David V. Lester;Niki Marvin,http://www.imdb.com/title/tt0111161/fullcredits?ref_=tt_ov_st_sm
tt0076759,11000000,35906661,460935665, 2.264,40.903,nm0476030;nm0000184;nm0564768,Gary Kurtz;George Lucas;Rick McCallum,http://www.imdb.com/title/tt0076759/fullcredits?ref_=tt_ov_st_sm
tt0088763,19000000,11332134,197902294,-0.404, 9.416,nm0134635;nm0301826;nm0005086;nm0550881;nm0000229,Neil Canton;Bob Gale;Kathleen Kennedy;Frank Marshall;Steven Spielberg,http://www.imdb.com/title/tt0088763/fullcredits?ref_=tt_ov_st_sm
tt0088847,1000000,5107599,38121485, 4.108,37.121,nm0295648;nm0000455;nm0543339;nm0583009;nm0849232,Gil Friesen;John Hughes;Michelle Manning;Andrew Meyer;Ned Tanen,http://www.imdb.com/title/tt0088847/fullcredits?ref_=tt_ov_st_sm
tt0089218,19000000,9105913,61389680,-0.521, 2.231,nm0076748;nm0001149;nm0005086;nm0550881;nm0000229,Harvey Bernhard;Richard Donner;Kathleen Kennedy;Frank Marshall;Steven Spielberg,http://www.imdb.com/title/tt0089218/fullcredits?ref_=tt_ov_st_sm
tt0102926,19000000,13766814,130742922,-0.275, 5.881,nm0086561;nm0102508;nm0324556;nm0768324;nm0882588,Grace Blake;Ronald M. Bozman;Gary Goetzman;Edward Saxon;Kenneth Utt,http://www.imdb.com/title/tt0102926/fullcredits?ref_=tt_ov_st_sm
tt0107290,63000000,18620145,402348347,-0.704, 5.386,nm0005086;nm0596520;nm0752671;nm0933213,Kathleen Kennedy;Gerald R. Molen;Lata Ryan;Colin Wilson,http://www.imdb.com/title/tt0107290/fullcredits?ref_=tt_ov_st_sm
tt0110357,45000000,40888194,422783777,-0.091, 8.395,nm0223107;nm0353893;nm0564138;nm0776665,Alice Dewey;Don Hahn;Sarah McArthur;Thomas Schumacher,http://www.imdb.com/title/tt0110357/fullcredits?ref_=tt_ov_st_sm
tt0114709,30000000,12491789,30144903,-0.584, 0.005,nm0036366;nm0146216;nm0346558;nm0423418,Bonnie Arnold;Ed Catmull;Ralph Guggenheim;Steve Jobs,http://www.imdb.com/title/tt0114709/fullcredits?ref_=tt_ov_st_sm
tt0118715,15000000,5533844,17439163,-0.631, 0.163,nm0079677;nm0131625;nm0001053;nm0271479;nm0001054,Tim Bevan;John Cameron;Ethan Coen;Eric Fellner;Joel Coen,http://www.imdb.com/title/tt0118715/fullcredits?ref_=tt_ov_st_sm
tt0120815,70000000,30576104,216540909,-0.563, 2.093,nm0117290;nm0193268;nm0209326;nm0330428;nm0400240;nm0506013;nm0781910;nm0000229,Ian Bryce;Bonnie Curtis;Kevin De La Noy;Mark Gordon;Mark Huffam;Gary Levinsohn;Allison Lyon Segan;Steven Spielberg,http://www.imdb.com/title/tt0120815/fullcredits?ref_=tt_ov_st_sm
tt0137523,63000000,11035485,37030102,-0.825,-0.412,nm0068501;nm0149556;nm0234156;nm0513165;nm0586969,Ross Grayson Bell;Ceán Chaffin;John S. Dorsey;Art Linson;Arnon Milchan,http://www.imdb.com/title/tt0137523/fullcredits?ref_=tt_ov_st_sm
tt0133093,63000000,27788331,171479930,-0.559, 1.722,nm0075732;nm0185621;nm0400492;nm0556580;nm0592385;nm0651614;nm0005428;nm0831098;nm0905152;nm0905154,Bruce Berman;Dan Cracchiolo;Carol Hughes;Andrew Mason;Richard Mirisch;Barrie M. Osborne;Joel Silver;Erwin Stoff;Andy Wachowski;Lana Wachowski,http://www.imdb.com/title/tt0133093/fullcredits?ref_=tt_ov_st_sm
tt0120915,115000000,22469932,43456382,-0.805,-0.622,nm0000184;nm0564768,George Lucas;Rick McCallum,http://www.imdb.com/title/tt0120915/fullcredits?ref_=tt_ov_st_sm
tt0172495,103000000,34819017,187705427,-0.662, 0.822,nm0291905;nm0527322;nm0531827;nm0624117;nm0662748;nm0926824;nm0000631,David Franzoni;Branko Lustig;Laurie MacDonald;Terry Needham;Walter F. Parkes;Douglas Wick;Ridley Scott,http://www.imdb.com/title/tt0172495/fullcredits?ref_=tt_ov_st_sm
tt0120903,75000000,54471475,157299717,-0.274, 1.097,nm0032696;nm0220892;nm0001149;nm0248996;nm0270559;nm0498278;nm0632350;nm0795682;nm0800210;nm0865361;nm0003515,Avi Arad;Tom DeSanto;Richard Donner;Matthew Edelman;Kevin Feige;Stan Lee;Scott Nimerfro;Lauren Shuler Donner;Joel Simon;Bill Todman Jr.;Ralph Winter,http://www.imdb.com/title/tt0120903/fullcredits?ref_=tt_ov_st_sm
tt0241527,125000000,90294621,317557891,-0.278, 1.540,nm0036761;nm0055431;nm0001060;nm0243462;nm0376416;nm0382268;nm0705365;nm0782036,Todd Arnow;Michael Barnathan;Chris Columbus;Paula DuPré Pesmen;Duncan Henderson;David Heyman;Mark Radcliffe;Tanya Seghatchian,http://www.imdb.com/title/tt0241527/fullcredits?ref_=tt_ov_st_sm
tt0120737,93000000,47211490,315544750,-0.492, 2.393,nm0001392;nm1088153;nm0649507;nm0651614;nm0691815;nm0761744;nm0783241;nm0790144;nm0813841;nm0909638;nm0918424;nm0005544,Peter Jackson;Michael Lynne;Mark Ordesky;Barrie M. Osborne;Rick Porras;Tim Sanders;Jamie Selkirk;Robert Shaye;Ellen Somers;Fran Walsh;Bob Weinstein;Harvey Weinstein,http://www.imdb.com/title/tt0120737/fullcredits?ref_=tt_ov_st_sm
tt0167261,94000000,727645,342551365,-0.992, 2.644,nm0001392;nm1088153;nm0649507;nm0651614;nm0691815;nm0783241;nm0790144;nm0909638;nm0918424;nm0005544,Peter Jackson;Michael Lynne;Mark Ordesky;Barrie M. Osborne;Rick Porras;Jamie Selkirk;Robert Shaye;Fran Walsh;Bob Weinstein;Harvey Weinstein,http://www.imdb.com/title/tt0167261/fullcredits?ref_=tt_ov_st_sm
