movieID,year,title,businessURL
tt0110912,1994,Pulp Fiction,http://www.imdb.com/title/tt0110912/business?ref_=tt_dt_bus
tt1872181,2014,The Amazing Spider-Man 2,http://www.imdb.com/title/tt1872181/business?ref_=tt_dt_bus
tt0111161,1994,The Shawshank Redemption,http://www.imdb.com/title/tt0111161/business?ref_=tt_dt_bus
tt0076759,1977,Star Wars,http://www.imdb.com/title/tt0076759/business?ref_=tt_dt_bus
tt0088763,1985,Back to the Future,http://www.imdb.com/title/tt0088763/business?ref_=tt_dt_bus
tt0088847,1985,The Breakfast Club,http://www.imdb.com/title/tt0088847/business?ref_=tt_dt_bus
tt0089218,1985,The Goonies,http://www.imdb.com/title/tt0089218/business?ref_=tt_dt_bus
tt0102926,1991,The Silence of the Lambs,http://www.imdb.com/title/tt0102926/business?ref_=tt_dt_bus
tt0107290,1993,Jurassic Park,http://www.imdb.com/title/tt0107290/business?ref_=tt_dt_bus
tt0110357,1994,The Lion King,http://www.imdb.com/title/tt0110357/business?ref_=tt_dt_bus
tt0114709,1995,Toy Story,http://www.imdb.com/title/tt0114709/business?ref_=tt_dt_bus
tt0118715,1998,The Big Lebowski,http://www.imdb.com/title/tt0118715/business?ref_=tt_dt_bus
tt0120815,1998,Saving Private Ryan,http://www.imdb.com/title/tt0120815/business?ref_=tt_dt_bus
tt0137523,1999,Fight Club,http://www.imdb.com/title/tt0137523/business?ref_=tt_dt_bus
tt0133093,1999,The Matrix,http://www.imdb.com/title/tt0133093/business?ref_=tt_dt_bus
tt0120915,1999,Star Wars: Episode I - The Phantom Menace,http://www.imdb.com/title/tt0120915/business?ref_=tt_dt_bus
tt0172495,2000,Gladiator,http://www.imdb.com/title/tt0172495/business?ref_=tt_dt_bus
tt0120903,2000,X-Men,http://www.imdb.com/title/tt0120903/business?ref_=tt_dt_bus
tt0241527,2001,Harry Potter and the Sorcerer's Stone,http://www.imdb.com/title/tt0241527/business?ref_=tt_dt_bus
tt0120737,2001,The Lord of the Rings: The Fellowship of the Ring,http://www.imdb.com/title/tt0120737/business?ref_=tt_dt_bus
tt0167261,2002,The Lord of the Rings: The Two Towers,http://www.imdb.com/title/tt0167261/business?ref_=tt_dt_bus
tt0295701,2002,xXx,http://www.imdb.com/title/tt0295701/business?ref_=tt_dt_bus
tt0266543,2003,Finding Nemo,http://www.imdb.com/title/tt0266543/business?ref_=tt_dt_bus
tt0167260,2003,The Lord of the Rings: The Return of the King,http://www.imdb.com/title/tt0167260/business?ref_=tt_dt_bus
tt0357413,2004,Anchorman: The Legend of Ron Burgundy,http://www.imdb.com/title/tt0357413/business?ref_=tt_dt_bus
tt0377092,2004,Mean Girls,http://www.imdb.com/title/tt0377092/business?ref_=tt_dt_bus
tt0401792,2005,Sin City,http://www.imdb.com/title/tt0401792/business?ref_=tt_dt_bus
tt0121766,2005,Star Wars: Episode III - Revenge of the Sith,http://www.imdb.com/title/tt0121766/business?ref_=tt_dt_bus
tt0372784,2005,Batman Begins,http://www.imdb.com/title/tt0372784/business?ref_=tt_dt_bus
tt0407887,2006,The Departed,http://www.imdb.com/title/tt0407887/business?ref_=tt_dt_bus
tt0482571,2006,The Prestige,http://www.imdb.com/title/tt0482571/business?ref_=tt_dt_bus
tt0434409,2005,V for Vendetta,http://www.imdb.com/title/tt0434409/business?ref_=tt_dt_bus
tt0381061,2006,Casino Royale,http://www.imdb.com/title/tt0381061/business?ref_=tt_dt_bus
tt0418279,2007,Transformers,http://www.imdb.com/title/tt0418279/business?ref_=tt_dt_bus
tt0468569,2008,The Dark Knight,http://www.imdb.com/title/tt0468569/business?ref_=tt_dt_bus
